title,artist,link
"Metope 11, south entablature, Parthenon (1837)",NA,/record/20648?highlight=*:*
Untitled (1981),Jodie Pear,/record/21922?highlight=*:*
Untitled (Unknown),Unknown,/record/99825?highlight=*:*
3 peakcocks all sitting in similar position on tree branch (1962-1963),Lesley M. Johns,/record/99331?highlight=*:*
Unknown (1957),Peter Coyle,/record/50512?highlight=*:*
Untitled (2002),Elaine Bay,/record/99948?highlight=*:*
Seated Female Nude (1954),D Stewart Lowdon,/record/21241?highlight=*:*
19th century handkerchief (1800-1899),Unknown,/record/102683?highlight=*:*
House in a Landscape,Unknown,/record/21501?highlight=*:*
Aphrodite and Eros East Frieze of the Parthenon,NA,/record/20683?highlight=*:*
Unknown (1985),Sarah Setchfield,/record/50432?highlight=*:*
Unknown,Unknown,/record/50397?highlight=*:*
Portrait of a Woman (1959),William D. MacKay,/record/22715?highlight=*:*
Seated Female Nude (1994-1995),Nicholas Otter,/record/21510?highlight=*:*
Untitled (1963),Andrew Raeburn,/record/22018?highlight=*:*
Untitled (2003),Andrea Bain,/record/99938?highlight=*:*
Untitled (1946),Eileen Bennett,/record/21733?highlight=*:*
Still Life (Circa 1970),Patrick J. Hickey,/record/22606?highlight=*:*
Portrait of a Woman (1956),John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,/record/21184?highlight=*:*
Self Portrait (1965),John Bellany,/record/20740?highlight=*:*
"Metope 9, south entablature, Parthenon (1837)",NA,/record/20645?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,/record/99449?highlight=*:*
Untitled (2004),Rebecca Firth,/record/21818?highlight=*:*
Untitled (1963),Madelane Galloway,/record/22005?highlight=*:*
Life Drawing (Male Nude Reclining on Front) (1962),John Bellany,/record/20763?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,/record/20690?highlight=*:*
Untitled (1989),Joanne Leonie Milne,/record/21562?highlight=*:*
Two Seated Men (1949),Douglas Gordon,/record/21100?highlight=*:*
Empty Potato Field,Frances M. Walker,/record/22693?highlight=*:*
Untitled,A. Parkinson,/record/112501?highlight=*:*
Untitled (Unknown),Unknown,/record/21563?highlight=*:*
William Shakespeare Otelo (1983),Boris Bućan,/record/22040?highlight=*:*
The Strike (1953),Robert Marx,/record/21691?highlight=*:*
Untitled,Marjorie-Ann Ancell,/record/21612?highlight=*:*
Limits (2014),Phoebe Mitchell,/record/54759?highlight=*:*
Cushendun (08 Apr 1968),Unknown,/record/21496?highlight=*:*
Striding Male Nude (1950),Alexander F Mitchell,/record/21054?highlight=*:*
Treasure on a Loch,John Brown,/record/22603?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,/record/20721?highlight=*:*
Figure of a river-god from west pediment,NA,/record/20633?highlight=*:*
Preparatory sketch for main composition (1960),Marjory Dickson,/record/53529?highlight=*:*
Central Park in the Dark Some 40 Years Ago (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",/record/21000?highlight=*:*
Unknown,Nugent,/record/50429?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,/record/50472?highlight=*:*
Untitled - Snowy Landscape (1962),Geoffrey J Roper,/record/99368?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,/record/20944?highlight=*:*
Plate,Emma Gillies,/record/53670?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,/record/99470?highlight=*:*
Studio Corner (2003),Peter Scott,/record/99937?highlight=*:*
Untitled (1984),Unknown,/record/21602?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,/record/99274?highlight=*:*
Fish in a Whirlpool (1953),Hans Jelinek,/record/21653?highlight=*:*
Unknown,Alistair Fairweather,/record/50426?highlight=*:*
Unknown (1952),Leonard I. H. Gray,/record/53487?highlight=*:*
Untitled - Three Horse Riders (1963),Iona Murray,/record/99403?highlight=*:*
Portrait of a Young Man (1951),Pamela D Moore,/record/21050?highlight=*:*
Unknown (24 Jan 1947),Eric Forrest,/record/50588?highlight=*:*
Seated Male Nude in High-back Chair (1969),James Campbell,/record/21270?highlight=*:*
Poirtrait of a Man,A Sinclair,/record/21440?highlight=*:*
Untitled (1962),Deborah Eadie,/record/112447?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,/record/50525?highlight=*:*
Saucer,Emma Gillies,/record/53632?highlight=*:*
Untitled (Unknown),Unknown,/record/21988?highlight=*:*
Unknown (1956),Alan M. Alexander,/record/50597?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,/record/21931?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,/record/20663?highlight=*:*
Felicity Who Went to Peru (1986),Faye Banks,/record/21897?highlight=*:*
Saucer,Emma Gillies,/record/53622?highlight=*:*
Saucer,Emma Gillies,/record/53629?highlight=*:*
Landscape (1987),Brian Godley,/record/112496?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,/record/99434?highlight=*:*
Unknown (1968),Kenneth R Duffy,/record/99514?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,/record/99445?highlight=*:*
Untitled (1964),Carol Handyside,/record/99840?highlight=*:*
Portrait of a Man (1961),James Fairgrieve,/record/21396?highlight=*:*
Unknown (1948),John W. Corner,/record/50516?highlight=*:*
Back of Bennachie,Hazel Holmes,/record/21623?highlight=*:*
Seated Male Nude (1955),Rosemary Gray,/record/21188?highlight=*:*
On Italian Balcony,Muriel Davidson,/record/53477?highlight=*:*
Unknown (1989),Heather Macdonald,/record/50428?highlight=*:*
Unknown (1950),James Bowman,/record/50610?highlight=*:*
Portrait of a Bearded Man (1956),James Lennox,/record/21192?highlight=*:*
Unknown (1957),Peter G. Collins,/record/50399?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat,/record/93355?highlight=*:*
Untitled - Nude Female Lying On a Patterned Bed (1967),Kevin Maguire,/record/99358?highlight=*:*
Teacup,Emma Gillies,/record/53654?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,/record/99898?highlight=*:*
Study for Mural - Industrial Unrest,R Callender,/record/21147?highlight=*:*
Hairy Veg (2016),Eden Hawkins,/record/99266?highlight=*:*
Saucer,Emma Gillies,/record/53630?highlight=*:*
Untitled - Abstract Forest Landscape (1965-1966),Laura McPherson,/record/99391?highlight=*:*
Reclining Male Nude (1957),William J. Dungate,/record/20964?highlight=*:*
Broderie Anglais jacket,Unknown,/record/102664?highlight=*:*
Untitled - Drawing of Harbour (1967),Isobel T Johnstone,/record/99255?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski,/record/21076?highlight=*:*
Small Portrait of a Woman in Brown,Polly A. Lister,/record/22672?highlight=*:*
Pair of sleeves,Unknown,/record/102676?highlight=*:*
Black Bodice (1996),Anna Millar,/record/22612?highlight=*:*
Unknown (1949),Richard Lovell,/record/50488?highlight=*:*
